"rk",tier,"name",team,"pos","bye","sos","vs"
"244",12,"Diontae Johnson",CLE,"WR90","9","2 out of 5 stars","-18"
"245",12,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-"
"246",12,"Miles Sanders",DAL,"RB68","10","2 out of 5 stars","-58"
"247",12,"Juwan Johnson",NO,"TE30","11","3 out of 5 stars","-47"
"248",12,"Kenneth Gainwell",PIT,"RB69","5","4 out of 5 stars","+102"
"249",12,"Elijah Mitchell",KC,"RB70","10","2 out of 5 stars","+11"
"250",12,"Jalen Royals",KC,"WR91","10","3 out of 5 stars","-14"
"251",12,"Elijah Moore",BUF,"WR92","7","3 out of 5 stars","-23"
"252",12,"Raheem Mostert",LV,"RB71","8","2 out of 5 stars","-34"
"253",12,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-"
"254",12,"Devin Singletary",NYG,"RB72","14","3 out of 5 stars","+60"
"255",12,"Kyle Monangai",CHI,"RB73","5","3 out of 5 stars","-28"
"256",12,"Mike Williams",LAC,"WR93","12","3 out of 5 stars","+1"
"257",12,"Elijah Arroyo",SEA,"TE31","8","4 out of 5 stars","-32"
"258",12,"Ollie Gordon II",MIA,"RB74","12","4 out of 5 stars","+21"
"259",12,"Nick Westbrook-Ikhine",MIA,"WR94","12","3 out of 5 stars","+14"
"260",12,"Roman Wilson",PIT,"WR95","5","4 out of 5 stars","-38"
"261",12,"Keaton Mitchell",BAL,"RB75","7","4 out of 5 stars","-52"
"262",12,"Malik Washington",MIA,"WR96","12","3 out of 5 stars","-4"
"263",12,"Trevor Etienne",CAR,"RB76","14","3 out of 5 stars","+15"
"264",12,"Noah Gray",KC,"TE32","10","3 out of 5 stars","-29"
"265",12,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","-"
"266",12,"Harold Fannin Jr.",CLE,"TE33","9","3 out of 5 stars","+3"
"267",12,"Joshua Karty",LAR,"K14","8","2 out of 5 stars","-"
"268",12,"Taysom Hill",NO,"TE34","11","3 out of 5 stars","-34"
"269",12,"Noah Fant",SEA,"TE35","8","4 out of 5 stars","+21"
"270",12,"Will Shipley",PHI,"RB77","9","3 out of 5 stars","-92"
"271",12,"Matt Gay",WAS,"K15","12","3 out of 5 stars","-"
"272",12,"Pat Bryant",DEN,"WR97","12","3 out of 5 stars","-109"
"273",13,"Zack Moss",CIN,"RB78","10","4 out of 5 stars","-7"
"274",13,"Ty Johnson",BUF,"RB79","7","4 out of 5 stars","-23"
"275",13,"Daniel Jones",IND,"QB31","11","3 out of 5 stars","-85"
"276",13,"Kimani Vidal",LAC,"RB80","12","2 out of 5 stars","+41"
"277",13,"Tim Patrick",DET,"WR98","8","3 out of 5 stars","+22"
"278",13,"Khalil Herbert",IND,"RB81","11","2 out of 5 stars","+37"
"279",13,"Dyami Brown",JAC,"WR99","8","4 out of 5 stars","-92"
"280",13,"Sincere McCormick",LV,"RB82","8","2 out of 5 stars","-"
"281",13,"Tahj Brooks",CIN,"RB83","10","4 out of 5 stars","-60"
"282",13,"Xavier Restrepo",TEN,"WR100","10","4 out of 5 stars","-1"
"283",13,"Parker Washington",JAC,"WR101","8","4 out of 5 stars","+1"
"284",13,"Jarquez Hunter",LAR,"RB84","8","3 out of 5 stars","-92"
"285",13,"Sean Tucker",TB,"RB85","9","3 out of 5 stars","-47"
"286",13,"Gabe Davis",FA,"WR102","-","-","+55"
"287",13,"Tyler Shough",NO,"QB32","11","5 out of 5 stars","-82"
"288",13,"Jalen Nailor",MIN,"WR103","6","2 out of 5 stars","-25"
"289",13,"Jaxson Dart",NYG,"QB33","14","1 out of 5 stars","-72"
"290",13,"Alexander Mattison",MIA,"RB86","12","4 out of 5 stars","+44"
"291",13,"Tre Tucker",LV,"WR104","8","4 out of 5 stars","-45"
"292",13,"Theo Johnson",NYG,"TE36","14","2 out of 5 stars","-79"
"293",13,"Isaiah Davis",NYJ,"RB87","9","5 out of 5 stars","-4"
"294",13,"Brashard Smith",KC,"RB88","10","2 out of 5 stars","-90"
"295",13,"Woody Marks",HOU,"RB89","6","2 out of 5 stars","-10"
"296",13,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-"
"297",13,"Dameon Pierce",HOU,"RB90","6","2 out of 5 stars","+30"
"298",13,"Joe Flacco",CLE,"QB34","9","2 out of 5 stars","-57"
"299",13,"Christian Watson",GB,"WR105","5","2 out of 5 stars","-17"
"300",13,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-"
"301",13,"Luke McCaffrey",WAS,"WR106","12","3 out of 5 stars","-8"
"302",13,"Jordan James",SF,"RB91","14","3 out of 5 stars","-54"
"303",13,"Will Dissly",LAC,"TE37","12","3 out of 5 stars","-53"
"304",13,"Terrance Ferguson",LAR,"TE38","8","4 out of 5 stars","-80"
"305",13,"Tory Horton",SEA,"WR107","8","3 out of 5 stars","-65"
"306",13,"Damien Martinez",SEA,"RB92","8","3 out of 5 stars","+17"
"307",13,"Ty Chandler",MIN,"RB93","6","3 out of 5 stars","+46"
"308",13,"Chris Brooks",GB,"RB94","5","4 out of 5 stars","+63"
"309",13,"Tez Johnson",TB,"WR108","9","3 out of 5 stars","+15"
"310",13,"Miami Dolphins",MIA,"DST20","12","2 out of 5 stars","-"
"311",13,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-74"
"312",13,"Jason Myers",SEA,"K17","8","5 out of 5 stars","-"
"313",13,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","-64"
"314",13,"Raheim Sanders",LAC,"RB95","12","2 out of 5 stars","-"
"315",13,"Ben Sinnott",WAS,"TE40","12","3 out of 5 stars","-72"
"316",13,"Chris Rodriguez Jr.",WAS,"RB96","12","2 out of 5 stars","+14"
"317",13,"Emanuel Wilson",GB,"RB97","5","4 out of 5 stars","-50"
"318",13,"John Metchie III",HOU,"WR109","6","4 out of 5 stars","-"
"319",13,"Jermaine Burton",CIN,"WR110","10","3 out of 5 stars","-51"
"320",13,"Tyler Higbee",LAR,"TE41","8","4 out of 5 stars","-89"
"321",13,"Zamir White",LV,"RB98","8","2 out of 5 stars","-"
"322",13,"Gus Edwards",FA,"RB99","-","-","-"
"323",14,"Tyler Conklin",LAC,"TE42","12","3 out of 5 stars","-93"
"324",14,"Phil Mafah",DAL,"RB100","10","2 out of 5 stars","-26"
"325",14,"Isaac TeSlaa",DET,"WR111","8","3 out of 5 stars","-93"
"326",14,"Tai Felton",MIN,"WR112","6","2 out of 5 stars","-54"
"327",14,"Justin Tucker",FA,"K18","-","-","-"
"328",14,"Jordan Whittington",LAR,"WR113","8","3 out of 5 stars","-69"
"329",14,"Ray-Ray McCloud III",ATL,"WR114","5","3 out of 5 stars","-109"
"330",14,"Tyler Loop",BAL,"K19","7","2 out of 5 stars","-"
"331",14,"Jalen Milroe",SEA,"QB36","8","4 out of 5 stars","-87"
"332",14,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-"
"333",14,"Tutu Atwell",LAR,"WR115","8","3 out of 5 stars","-127"
"334",14,"Isaiah Bond",FA,"WR116","-","-","+6"
"335",14,"Donovan Edwards",NYJ,"RB101","9","5 out of 5 stars","-"
"336",14,"Will Reichard",MIN,"K20","6","0 out of 5 stars","-"
"337",14,"New England Patriots",NE,"DST22","14","4 out of 5 stars","-"
"338",14,"Demarcus Robinson",SF,"WR117","14","4 out of 5 stars","-83"
"339",14,"Tank Dell",HOU,"WR118","6","4 out of 5 stars","-38"
"340",14,"Cam Akers",NO,"RB102","11","4 out of 5 stars","-40"
"341",14,"Troy Franklin",DEN,"WR119","12","3 out of 5 stars","-94"
"342",14,"Samaje Perine",CIN,"RB103","10","4 out of 5 stars","-11"
"343",14,"Dawson Knox",BUF,"TE43","7","3 out of 5 stars","-40"
"344",14,"Savion Williams",GB,"WR120","5","2 out of 5 stars","-80"
"345",14,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-"
"346",14,"Michael Mayer",LV,"TE44","8","2 out of 5 stars","-75"
"347",14,"Dont'e Thornton Jr.",LV,"WR121","8","4 out of 5 stars","-149"
"348",14,"Jacory Croskey-Merritt",WAS,"RB104","12","2 out of 5 stars","-109"
"349",14,"Jake Moody",SF,"K21","14","5 out of 5 stars","-"
"350",14,"Kirk Cousins",ATL,"QB37","5","4 out of 5 stars","-96"
"351",14,"Marquez Valdes-Scantling",SEA,"WR122","8","3 out of 5 stars","-95"
"352",14,"Luke Musgrave",GB,"TE45","5","2 out of 5 stars","-43"
"353",14,"A.J. Dillon",PHI,"RB105","9","3 out of 5 stars","-65"
"354",14,"Will Levis",TEN,"QB38","10","2 out of 5 stars","+12"
"355",14,"Brandon McManus",GB,"K22","5","3 out of 5 stars","-"
"356",14,"Trey Sermon",PIT,"RB106","5","4 out of 5 stars","-"
"357",14,"Eddy Pineiro",FA,"K23","-","-","-"
"358",14,"Matt Prater",FA,"K24","-","-","-"
"359",14,"Cam Little",JAC,"K25","8","5 out of 5 stars","-"
"360",14,"Mack Hollins",NE,"WR123","14","3 out of 5 stars","-83"
"361",14,"Allen Lazard",NYJ,"WR124","9","4 out of 5 stars","-81"
"362",14,"Noah Brown",WAS,"WR125","12","3 out of 5 stars","-87"
"363",14,"KaVontae Turpin",DAL,"WR126","10","2 out of 5 stars","-87"
"364",14,"Ameer Abdullah",FA,"RB107","-","-","-"
"365",14,"Gunnar Helm",TEN,"TE46","10","3 out of 5 stars","-32"
"366",14,"Atlanta Falcons",ATL,"DST24","5","3 out of 5 stars","-"
"367",14,"Blake Grupe",NO,"K26","11","5 out of 5 stars","-"
"368",14,"Jameis Winston",NYG,"QB39","14","1 out of 5 stars","-62"
"369",14,"Antwane Wells Jr.",NYG,"WR127","14","2 out of 5 stars","-"
"370",14,"Austin Hooper",NE,"TE47","14","3 out of 5 stars","-48"
"371",14,"Curtis Samuel",BUF,"WR128","7","3 out of 5 stars","-109"
"372",14,"Mason Rudolph",PIT,"QB40","5","4 out of 5 stars","-"
"373",14,"Luke Schoonmaker",DAL,"TE48","10","2 out of 5 stars","-19"
"374",14,"Washington Commanders",WAS,"DST25","12","4 out of 5 stars","-"
"375",14,"Robert Woods",PIT,"WR129","5","4 out of 5 stars","-27"
"376",14,"Theo Wease Jr.",MIA,"WR130","12","3 out of 5 stars","-"
"377",14,"Chimere Dike",TEN,"WR131","10","4 out of 5 stars","-75"
"378",15,"Cairo Santos",CHI,"K27","5","1 out of 5 stars","-"
"379",15,"Josh Reynolds",NYJ,"WR132","9","4 out of 5 stars","-127"
"380",15,"Kalel Mullings",TEN,"RB108","10","2 out of 5 stars","-25"
"381",15,"Ja'Quinden Jackson",JAC,"RB109","8","2 out of 5 stars","-"
"382",15,"Graham Gano",NYG,"K28","14","0 out of 5 stars","-"
"383",15,"Kenny Pickett",CLE,"QB41","9","2 out of 5 stars","-18"
"384",15,"Jaylin Lane",WAS,"WR133","12","3 out of 5 stars","-114"
"385",15,"Jonathon Brooks",CAR,"RB110","14","3 out of 5 stars","-39"
"386",15,"Aidan O'Connell",LV,"QB42","8","3 out of 5 stars","-"
"387",15,"Van Jefferson",TEN,"WR134","10","4 out of 5 stars","-24"
"388",15,"Tommy Tremble",CAR,"TE49","14","4 out of 5 stars","-31"
"389",15,"Ja'Lynn Polk",NE,"WR135","14","3 out of 5 stars","-27"
"390",15,"LeQuint Allen Jr.",JAC,"RB111","8","2 out of 5 stars","-8"
"391",15,"Greg Dortch",ARI,"WR136","8","4 out of 5 stars","-86"
"392",15,"Indianapolis Colts",IND,"DST26","11","4 out of 5 stars","-"
"393",15,"Kendrick Bourne",NE,"WR137","14","3 out of 5 stars","-65"
"394",15,"Nick Folk",FA,"K29","-","-","-"
"395",15,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-"
"396",15,"Jeremy Ruckert",NYJ,"TE50","9","3 out of 5 stars","-44"
"397",15,"Arian Smith",NYJ,"WR138","9","4 out of 5 stars","-100"
"398",15,"Dillon Gabriel",CLE,"QB43","9","2 out of 5 stars","-88"
"399",15,"Foster Moreau",NO,"TE51","11","3 out of 5 stars","-48"
"400",15,"D'Ernest Johnson",FA,"RB112","-","-","-"
"401",15,"New Orleans Saints",NO,"DST28","11","4 out of 5 stars","-"
"402",15,"Chad Ryland",ARI,"K30","8","3 out of 5 stars","-"
"403",15,"Spencer Rattler",NO,"QB44","11","5 out of 5 stars","-83"
"404",15,"Jahan Dotson",PHI,"WR139","9","3 out of 5 stars","-117"
"405",15,"Chris Tyree",NO,"RB113","11","4 out of 5 stars","-"
"406",15,"Jalin Hyatt",NYG,"WR140","14","2 out of 5 stars","-111"
"407",15,"Emari Demercado",ARI,"RB114","8","3 out of 5 stars","-75"
"408",15,"Josh Oliver",MIN,"TE52","6","3 out of 5 stars","-41"
"409",15,"Jacob Cowing",SF,"WR141","14","4 out of 5 stars","-97"
"410",15,"Darnell Washington",PIT,"TE53","5","3 out of 5 stars","-81"
"411",15,"Stone Smartt",NYJ,"TE54","9","3 out of 5 stars","-"
"412",15,"Craig Reynolds",DET,"RB115","8","2 out of 5 stars","-"
"413",15,"Colby Parkinson",LAR,"TE55","8","4 out of 5 stars","-"
"414",15,"Will Howard",PIT,"QB45","5","4 out of 5 stars","-"
"415",15,"Zay Jones",ARI,"WR142","8","4 out of 5 stars","-54"
"416",15,"JuJu Smith-Schuster",KC,"WR143","10","3 out of 5 stars","-122"
"417",15,"Mitchell Evans",CAR,"TE56","14","4 out of 5 stars","-82"
"418",15,"Cordarrelle Patterson",PIT,"RB116","5","4 out of 5 stars","-60"
"419",15,"Treylon Burks",TEN,"WR144","10","4 out of 5 stars","-83"
"420",15,"Grant Calcaterra",PHI,"TE57","9","3 out of 5 stars","-52"
"421",15,"Cade Stover",HOU,"TE58","6","3 out of 5 stars","-65"
"422",15,"Kalif Raymond",DET,"WR145","8","3 out of 5 stars","-"
"423",15,"AJ Barner",SEA,"TE59","8","4 out of 5 stars","-"
"424",15,"Luke Lachey",HOU,"TE60","6","3 out of 5 stars","-"
"425",15,"Tyler Johnson",NYJ,"WR146","9","4 out of 5 stars","-"
"426",15,"Kenny McIntosh",SEA,"RB117","8","3 out of 5 stars","-"
"427",15,"Olamide Zaccheaus",CHI,"WR147","5","2 out of 5 stars","-106"
"428",15,"Julius Chestnut",TEN,"RB118","10","2 out of 5 stars","-"
"429",15,"Javon Baker",NE,"WR148","14","3 out of 5 stars","-"
"430",15,"Deuce Vaughn",DAL,"RB119","10","2 out of 5 stars","-"
"431",15,"Hunter Renfrow",CAR,"WR149","14","4 out of 5 stars","-115"
"432",15,"Greg Dulcich",NYG,"TE61","14","2 out of 5 stars","-"
"433",15,"Joe Milton III",DAL,"QB46","10","2 out of 5 stars","-126"
"434",15,"Daniel Bellinger",NYG,"TE62","14","2 out of 5 stars","-"
"435",15,"Las Vegas Raiders",LV,"DST29","8","4 out of 5 stars","-"
"436",15,"Kylen Granson",PHI,"TE63","9","3 out of 5 stars","-"
"437",15,"Zach Wilson",MIA,"QB47","12","5 out of 5 stars","-90"
"438",15,"Julian Fleming",FA,"WR150","-","-","-"
"439",15,"Malik Willis",GB,"QB48","5","2 out of 5 stars","-"
"440",15,"Tyler Badie",DEN,"RB120","12","2 out of 5 stars","-"
"441",15,"Marcus Yarns",NO,"RB121","11","4 out of 5 stars","-"
"442",15,"Deshaun Watson",CLE,"QB49","9","2 out of 5 stars","-"
"443",15,"KeAndre Lambert-Smith",LAC,"WR151","12","3 out of 5 stars","-105"
"444",15,"Jeremy McNichols",WAS,"RB122","12","2 out of 5 stars","-"
"445",16,"KhaDarel Hodge",ATL,"WR152","5","3 out of 5 stars","-"
"446",16,"Pierre Strong Jr.",CLE,"RB123","9","4 out of 5 stars","-"
"447",16,"Hunter Long",JAC,"TE64","8","3 out of 5 stars","-"
"448",16,"Jake Bobo",SEA,"WR153","8","3 out of 5 stars","-"
"449",16,"Malachi Corley",NYJ,"WR154","9","4 out of 5 stars","-136"
"450",16,"Jacksonville Jaguars",JAC,"DST30","8","4 out of 5 stars","-"
"451",16,"Jonathan Mingo",DAL,"WR155","10","2 out of 5 stars","-72"
"452",16,"Jaydn Ott",FA,"RB124","-","-","-"
"453",16,"Josh Whyle",TEN,"TE65","10","3 out of 5 stars","-"
"454",16,"Michael Woods II",CLE,"WR156","9","2 out of 5 stars","-"
"455",16,"Jordan Watkins",SF,"WR157","14","4 out of 5 stars","-151"
"456",16,"Tyler Goodson",IND,"RB125","11","2 out of 5 stars","-"
"457",16,"Ezekiel Elliott",FA,"RB126","-","-","-"
"458",16,"Brevin Jordan",HOU,"TE66","6","3 out of 5 stars","-"
"459",16,"Carson Steele",KC,"RB127","10","2 out of 5 stars","-"
"460",16,"Michael Gallup",WAS,"WR158","12","3 out of 5 stars","-116"
"461",16,"Michael Carter",ARI,"RB128","8","3 out of 5 stars","-101"
"462",16,"Elijah Higgins",ARI,"TE67","8","5 out of 5 stars","-"
"463",16,"Ricky White III",SEA,"WR159","8","3 out of 5 stars","-121"
"464",16,"Jimmy Horn Jr.",CAR,"WR160","14","4 out of 5 stars","-178"
"465",16,"Devontez Walker",BAL,"WR161","7","3 out of 5 stars","-200"
"466",16,"Clyde Edwards-Helaire",NO,"RB129","11","4 out of 5 stars","-"
"467",16,"Marcus Mariota",WAS,"QB50","12","2 out of 5 stars","-"
"468",16,"David Moore",CAR,"WR162","14","4 out of 5 stars","-"
"469",16,"Jake Browning",CIN,"QB51","10","2 out of 5 stars","-94"
"470",16,"Nick Nash",ATL,"WR163","5","3 out of 5 stars","-90"
"471",16,"Mecole Hardman Jr.",GB,"WR164","5","2 out of 5 stars","-99"
"472",16,"Sam Howell",MIN,"QB52","6","2 out of 5 stars","-129"
"473",16,"Harrison Bryant",PHI,"TE68","9","3 out of 5 stars","-"
"474",16,"Efton Chism III",NE,"WR165","14","3 out of 5 stars","-183"
"475",16,"John Bates",WAS,"TE69","12","3 out of 5 stars","-"
"476",16,"Tanner Hudson",CIN,"TE70","10","2 out of 5 stars","-107"
"477",16,"Tyrod Taylor",NYJ,"QB53","9","5 out of 5 stars","-101"
"478",16,"Dylan Laube",LV,"RB130","8","2 out of 5 stars","-"
"479",16,"Luke Farrell",SF,"TE71","14","3 out of 5 stars","-98"
"480",16,"Patrick Taylor Jr.",SF,"RB131","14","3 out of 5 stars","-"
"481",16,"Cooper Rush",BAL,"QB54","7","3 out of 5 stars","-103"
"482",16,"Mo Alie-Cox",IND,"TE72","11","3 out of 5 stars","-"
"483",16,"Travis Homer",CHI,"RB132","5","3 out of 5 stars","-"
"484",16,"Drew Sample",CIN,"TE73","10","2 out of 5 stars","-"